19:53:56.096 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper ---- Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests], using SpringBootContextLoader 
19:53:56.099 [main] INFO  o.s.t.c.s.AbstractContextLoader ---- Could not detect default resource locations for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
19:53:56.100 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils ---- Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests]: JournalAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
19:53:56.142 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper ---- Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalApplication for test class net.engineeringdigest.journalApp.JournalAppApplicationTests 
19:53:56.176 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper ---- Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
19:53:56.183 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper ---- Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@56113384, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5669c5fb, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@373ebf74, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5f9678e1, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@c4ed84, org.springframework.test.context.support.DirtiesContextTestExecutionListener@189aa67a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5a9d6f02, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@362045c0, org.springframework.test.context.event.EventPublishingTestExecutionListener@112f364d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5ccbeb64, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6d9f7a80, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@59252cb6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@31d0e481, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3243b914, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@241e8ea6] 
19:53:56.336 [main] INFO  n.e.j.JournalAppApplicationTests ---- Starting JournalAppApplicationTests using Java 17.0.13 on sejal-thinkpad-e14-gen-4 with PID 225120 (started by sejal in /home/sejal/Downloads/journalApp) 
19:53:56.336 [main] INFO  n.e.j.JournalAppApplicationTests ---- The following 1 profile is active: "dev" 
19:53:56.587 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ---- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
19:53:56.610 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ---- Finished Spring Data repository scanning in 20 ms. Found 2 MongoDB repository interfaces. 
19:53:57.144 [main] INFO  org.mongodb.driver.client ---- MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Linux", "name": "Linux", "architecture": "amd64", "version": "5.15.0-127-generic"}, "platform": "Java/Ubuntu/17.0.13+11-Ubuntu-2ubuntu120.04", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='sejal', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@7c1447b5]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.1f2ay.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-buobii-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
19:53:57.198 [cluster-ClusterId{value='678521fd93acff428737afe4', description='null'}-srv-cluster0.1f2ay.mongodb.net] INFO  org.mongodb.driver.cluster ---- Adding discovered server cluster0-shard-00-01.1f2ay.mongodb.net:27017 to client view of cluster 
19:53:57.211 [cluster-ClusterId{value='678521fd93acff428737afe4', description='null'}-srv-cluster0.1f2ay.mongodb.net] INFO  org.mongodb.driver.cluster ---- Adding discovered server cluster0-shard-00-00.1f2ay.mongodb.net:27017 to client view of cluster 
19:53:57.212 [cluster-ClusterId{value='678521fd93acff428737afe4', description='null'}-srv-cluster0.1f2ay.mongodb.net] INFO  org.mongodb.driver.cluster ---- Adding discovered server cluster0-shard-00-02.1f2ay.mongodb.net:27017 to client view of cluster 
19:53:57.268 [main] INFO  org.mongodb.driver.cluster ---- No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@13ed066e from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=cluster0-shard-00-01.1f2ay.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-00.1f2ay.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-02.1f2ay.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
19:53:58.092 [cluster-rtt-ClusterId{value='678521fd93acff428737afe4', description='null'}-cluster0-shard-00-00.1f2ay.mongodb.net:27017] INFO  org.mongodb.driver.connection ---- Opened connection [connectionId{localValue:5, serverValue:5303}] to cluster0-shard-00-00.1f2ay.mongodb.net:27017 
19:53:58.092 [cluster-ClusterId{value='678521fd93acff428737afe4', description='null'}-cluster0-shard-00-00.1f2ay.mongodb.net:27017] INFO  org.mongodb.driver.connection ---- Opened connection [connectionId{localValue:4, serverValue:5303}] to cluster0-shard-00-00.1f2ay.mongodb.net:27017 
19:53:58.092 [cluster-rtt-ClusterId{value='678521fd93acff428737afe4', description='null'}-cluster0-shard-00-02.1f2ay.mongodb.net:27017] INFO  org.mongodb.driver.connection ---- Opened connection [connectionId{localValue:1, serverValue:6037}] to cluster0-shard-00-02.1f2ay.mongodb.net:27017 
19:53:58.092 [cluster-ClusterId{value='678521fd93acff428737afe4', description='null'}-cluster0-shard-00-02.1f2ay.mongodb.net:27017] INFO  org.mongodb.driver.connection ---- Opened connection [connectionId{localValue:2, serverValue:6037}] to cluster0-shard-00-02.1f2ay.mongodb.net:27017 
19:53:58.092 [cluster-rtt-ClusterId{value='678521fd93acff428737afe4', description='null'}-cluster0-shard-00-01.1f2ay.mongodb.net:27017] INFO  org.mongodb.driver.connection ---- Opened connection [connectionId{localValue:3, serverValue:4831}] to cluster0-shard-00-01.1f2ay.mongodb.net:27017 
19:53:58.092 [cluster-ClusterId{value='678521fd93acff428737afe4', description='null'}-cluster0-shard-00-01.1f2ay.mongodb.net:27017] INFO  org.mongodb.driver.connection ---- Opened connection [connectionId{localValue:6, serverValue:4831}] to cluster0-shard-00-01.1f2ay.mongodb.net:27017 
19:53:58.092 [cluster-ClusterId{value='678521fd93acff428737afe4', description='null'}-cluster0-shard-00-01.1f2ay.mongodb.net:27017] INFO  org.mongodb.driver.cluster ---- Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.1f2ay.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=415697834, setName='atlas-buobii-shard-0', canonicalAddress=cluster0-shard-00-01.1f2ay.mongodb.net:27017, hosts=[cluster0-shard-00-02.1f2ay.mongodb.net:27017, cluster0-shard-00-00.1f2ay.mongodb.net:27017, cluster0-shard-00-01.1f2ay.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.1f2ay.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=155, topologyVersion=TopologyVersion{processId=6784fc706db367ea53e6d7f5, counter=3}, lastWriteDate=Mon Jan 13 19:53:57 IST 2025, lastUpdateTimeNanos=35373703500928} 
19:53:58.092 [cluster-ClusterId{value='678521fd93acff428737afe4', description='null'}-cluster0-shard-00-00.1f2ay.mongodb.net:27017] INFO  org.mongodb.driver.cluster ---- Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.1f2ay.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=415772124, setName='atlas-buobii-shard-0', canonicalAddress=cluster0-shard-00-00.1f2ay.mongodb.net:27017, hosts=[cluster0-shard-00-02.1f2ay.mongodb.net:27017, cluster0-shard-00-00.1f2ay.mongodb.net:27017, cluster0-shard-00-01.1f2ay.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.1f2ay.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=155, topologyVersion=TopologyVersion{processId=6784fa949576dc0512472ebd, counter=4}, lastWriteDate=Mon Jan 13 19:53:57 IST 2025, lastUpdateTimeNanos=35373703501539} 
