09:41:24.314 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper ---- Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.repository.UserRepositoryImplTests], using SpringBootContextLoader 
09:41:24.322 [main] INFO  o.s.t.c.s.AbstractContextLoader ---- Could not detect default resource locations for test class [net.engineeringdigest.journalApp.repository.UserRepositoryImplTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
09:41:24.323 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils ---- Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.repository.UserRepositoryImplTests]: UserRepositoryImplTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
09:41:24.420 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper ---- Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalApplication for test class net.engineeringdigest.journalApp.repository.UserRepositoryImplTests 
09:41:24.499 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper ---- Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
09:41:24.509 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper ---- Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@38f116f6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5286c33a, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6e6d5d29, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5c530d1e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6c25e6c4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@85e6769, org.springframework.test.context.transaction.TransactionalTestExecutionListener@c5ee75e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@48a12036, org.springframework.test.context.event.EventPublishingTestExecutionListener@bf1ec20, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@70efb718, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@b70da4c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4a11eb84, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4e858e0a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@435fb7b5, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4e70a728] 
09:41:24.738 [main] INFO  n.e.j.r.UserRepositoryImplTests ---- Starting UserRepositoryImplTests using Java 17.0.13 on sejal-thinkpad-e14-gen-4 with PID 121723 (started by sejal in /home/sejal/Downloads/journalApp) 
09:41:24.739 [main] INFO  n.e.j.r.UserRepositoryImplTests ---- The following 1 profile is active: "dev" 
09:41:25.172 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ---- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
09:41:25.203 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ---- Finished Spring Data repository scanning in 27 ms. Found 3 MongoDB repository interfaces. 
09:41:25.543 [main] INFO  org.mongodb.driver.client ---- MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Linux", "name": "Linux", "architecture": "amd64", "version": "5.15.0-127-generic"}, "platform": "Java/Amazon.com Inc./17.0.13+11-LTS", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='sejal', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@3bf54172]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.1f2ay.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-buobii-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
